CO_CURSO;TP_SEXO;TP_COR_RACA;TP_TURNO;IN_ACAO_AFIRMATIVA;ID_AUXILIO;QT_BENEFICIARIOS
14091;2;5;4.0;1;5;3
14091;1;3;4.0;0;5;3
14091;1;3;4.0;1;5;3
14091;1;3;4.0;1;5;2
14091;1;2;4.0;1;5;3
14091;2;3;4.0;1;5;3
14091;1;2;4.0;1;5;4
14092;1;3;4.0;1;5;5
14092;1;2;4.0;1;5;2
14092;2;1;4.0;1;5;2
14092;1;2;4.0;1;5;4
14092;1;3;4.0;1;5;5
14092;2;3;4.0;1;5;4
14092;1;5;4.0;1;5;6
14092;1;3;4.0;1;5;4
14092;1;1;4.0;1;5;3
14092;2;3;4.0;0;5;2
14092;2;3;4.0;1;5;4
14093;2;3;4.0;1;5;3
14093;2;2;4.0;1;5;2
14093;2;3;4.0;1;5;3
14093;1;1;4.0;1;5;2
14093;1;3;4.0;1;5;4
14093;2;1;4.0;1;5;4
14093;1;3;4.0;1;5;8
14093;1;2;4.0;1;5;3
14093;2;3;4.0;1;5;9
14093;2;3;4.0;1;5;2
14093;2;5;4.0;1;5;2
14094;1;1;4.0;1;5;8
14094;2;5;4.0;1;5;4
14094;2;1;4.0;1;5;2
14094;1;2;4.0;1;5;2
14094;1;3;4.0;1;5;8
14094;1;1;4.0;1;5;2
14094;2;2;4.0;1;5;4
14094;1;2;4.0;1;5;6
14094;1;3;4.0;1;5;2
14094;2;2;4.0;1;5;2
14094;1;5;4.0;1;5;3
14094;1;2;4.0;1;5;2
14095;1;3;1.0;1;5;2
14095;1;2;1.0;1;5;4
14095;1;2;4.0;1;5;4
14095;1;3;1.0;1;5;2
14095;2;5;4.0;1;5;2
14095;1;1;4.0;1;5;4
14095;1;3;4.0;1;5;3
14095;1;3;4.0;1;5;3
14096;1;3;4.0;1;5;2
14096;1;3;4.0;1;5;3
14096;2;3;4.0;1;5;2
14096;1;1;4.0;0;5;2
14096;2;1;4.0;1;5;3
14096;1;3;4.0;1;5;3
14096;1;5;4.0;1;5;2
14097;1;3;4.0;0;5;2
14097;1;2;4.0;1;5;3
14097;2;2;4.0;1;5;4
14097;1;3;4.0;1;5;5
14097;1;3;4.0;0;5;2
14097;1;2;4.0;1;5;4
14097;2;1;4.0;0;5;2
14097;2;3;4.0;1;5;7
14097;1;3;4.0;1;5;3
14097;2;2;4.0;1;5;2
14097;1;3;4.0;1;5;11
14097;2;1;4.0;1;5;2
14097;2;2;4.0;1;5;2
14097;2;2;4.0;0;5;2
14097;2;3;4.0;1;5;6
14097;1;1;4.0;1;5;2
14097;1;1;4.0;0;5;2
14097;1;5;4.0;1;5;2
14097;2;1;4.0;1;5;2
14097;1;1;4.0;1;5;2
14097;1;1;4.0;1;5;4
14097;1;2;4.0;0;5;2
14098;2;3;4.0;1;5;3
14098;2;3;4.0;1;5;3
14098;2;3;4.0;1;5;4
14099;2;3;4.0;1;5;4
14099;2;1;4.0;1;5;4
14099;2;3;4.0;1;5;4
14099;2;2;4.0;1;5;2
14099;2;5;4.0;1;5;2
14099;2;3;4.0;1;5;2
14099;1;3;4.0;1;5;4
14100;2;2;4.0;1;5;2
14100;2;3;4.0;1;5;5
14100;1;3;4.0;1;5;4
14100;2;3;4.0;1;5;3
14102;1;3;1.0;1;5;2
14102;2;3;3.0;1;5;2
14102;2;5;1.0;1;5;2
14102;1;2;1.0;1;5;2
14102;1;3;3.0;1;5;2
14104;1;3;1.0;1;5;3
14104;1;2;1.0;1;5;2
14105;1;3;1.0;1;5;2
14106;2;5;1.0;1;5;2
14106;2;1;1.0;1;5;2
14106;2;1;1.0;1;5;3
14106;2;3;1.0;1;5;3
14106;1;3;1.0;1;5;3
14108;2;3;1.0;1;5;2
14108;2;3;1.0;1;5;2
14108;1;1;1.0;1;5;2
14109;1;3;3.0;1;5;4
14109;2;5;3.0;1;5;2
14109;1;5;1.0;1;5;2
14109;1;3;1.0;1;5;3
14109;1;2;1.0;1;5;3
14109;2;3;1.0;1;5;5
14109;2;1;1.0;1;5;2
14109;2;5;1.0;1;5;2
14110;2;3;1.0;1;5;2
14110;1;1;1.0;1;5;3
14123;1;3;2.0;1;5;2
14123;1;3;2.0;1;5;2
14123;2;5;1.0;1;5;2
14136;1;3;3.0;1;5;3
14136;1;3;3.0;1;5;2
14136;1;1;3.0;1;5;2
14136;1;2;3.0;1;5;3
18952;2;3;4.0;1;5;2
18952;2;2;4.0;1;5;2
18952;2;3;4.0;1;5;2
18952;2;3;4.0;1;5;2
18952;2;5;3.0;1;5;2
18953;1;3;2.0;1;5;3
18953;1;3;2.0;1;5;2
18953;1;3;2.0;1;5;3
18953;2;5;2.0;1;5;2
20809;2;3;4.0;1;5;2
20809;1;3;4.0;1;5;2
20809;1;2;4.0;1;5;2
20809;1;3;4.0;1;5;4
20809;1;1;4.0;1;5;2
20809;1;2;4.0;0;5;2
21989;1;1;2.0;1;5;3
21989;1;2;2.0;1;5;2
21990;1;1;1.0;0;5;2
21990;1;5;1.0;1;5;3
21990;2;3;1.0;0;5;2
21990;2;3;1.0;1;5;3
21990;1;3;1.0;1;5;3
21990;2;1;1.0;1;5;2
21992;1;2;3.0;1;5;4
21992;1;3;1.0;1;5;2
21992;1;3;3.0;1;5;4
21992;1;2;1.0;1;5;2
21992;1;3;3.0;1;5;3
