CO_CURSO;ID_CENTRO;ID_GRAU;ID_MODALIDADE;ID_SEXO;ID_RACA;ID_TURNO;IN_RESERVA_VAGAS;IN_APOIO_SOCIAL;IN_APOIO_ALIMENTACAO;IN_APOIO_MORADIA;IN_APOIO_TRANSPORTE;IN_APOIO_MATERIAL_DIDATICO;IN_APOIO_BOLSA_PERMANENCIA;IN_APOIO_BOLSA_TRABALHO;TOTAL_ALUNOS;RECEBE_AUXILIO;IDPNA;TOTAL_IDPNA
13394;5;1;1;1;3;4;0;0;0;0;0;0;0;0;12;0;0;0
13394;5;1;1;1;3;4;0;1;1;0;0;0;0;0;2;1;0;0
13394;5;1;1;1;3;4;1;1;1;1;0;0;0;0;2;1;0;0
13394;5;1;1;1;1;4;0;0;0;0;0;0;0;0;18;0;0;0
13394;5;1;1;1;2;3;0;0;0;0;0;0;0;0;2;0;0;0
13394;5;1;1;2;3;3;1;1;1;0;0;0;0;0;4;1;0;0
13394;5;1;1;1;2;4;1;1;1;0;0;0;0;0;2;1;0;0
13394;5;1;1;2;1;4;0;1;0;0;0;0;1;0;2;1;0;0
13394;5;1;1;2;3;4;1;1;1;0;0;0;0;0;4;1;0;0
13394;5;1;1;1;2;4;0;0;0;0;0;0;0;0;3;0;0;0
13394;5;1;1;2;4;4;0;0;0;0;0;0;0;0;2;0;0;0
13394;5;1;1;2;0;4;0;1;0;0;0;0;1;0;3;1;0;0
13394;5;1;1;1;3;3;1;1;1;0;0;0;0;0;2;1;0;0
13394;5;1;1;1;0;4;0;0;0;0;0;0;0;0;13;0;0;0
13394;5;1;1;2;1;3;0;0;0;0;0;0;0;0;33;0;0;0
13394;5;1;1;2;2;4;0;0;0;0;0;0;0;0;11;0;0;0
13394;5;1;1;2;2;4;1;0;0;0;0;0;0;0;2;0;1;2
13394;5;1;1;2;3;4;1;0;0;0;0;0;0;0;53;0;1;53
13394;5;1;1;1;3;3;1;0;0;0;0;0;0;0;17;0;1;17
13394;5;1;1;1;2;4;1;0;0;0;0;0;0;0;4;0;1;4
13394;5;1;1;2;0;4;0;0;0;0;0;0;0;0;28;0;0;0
13394;5;1;1;2;0;4;1;0;0;0;0;0;0;0;4;0;1;4
13394;5;1;1;2;1;4;1;0;0;0;0;0;0;0;15;0;1;15
13394;5;1;1;1;1;4;1;0;0;0;0;0;0;0;9;0;1;9
13394;5;1;1;2;0;3;0;0;0;0;0;0;0;0;7;0;0;0
13394;5;1;1;1;3;4;1;1;1;0;0;0;0;0;3;1;0;0
13394;5;1;1;2;3;4;0;0;0;0;0;0;0;0;28;0;0;0
13394;5;1;1;2;1;3;1;0;0;0;0;0;0;0;13;0;1;13
13394;5;1;1;2;3;4;0;1;1;0;0;0;0;0;2;1;0;0
