CO_CURSO,NO_CURSO,CO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,TOTAL_ALUNOS
"13397","CIÊNCIAS CONTÁBEIS","0411C01","1","1","1438"
"13418","PEDAGOGIA","0113P01","2","1","1382"
"13398","DIREITO","0421D01","1","1","1137"
"13424","MEDICINA","0912M01","1","1","844"
"107548","LETRAS - LÍNGUA PORTU","0115L13","2","1","766"
"1110415","DIREITO","0421D01","1","1","763"
"13395","ADMINISTRAÇÃO","0413A01","1","1","761"
"107549","LETRAS - INGLÊS","0115L04","2","1","650"
"13413","PSICOLOGIA","0313P01","1","1","595"
"13401","CIÊNCIA DA COMPUTAÇÃO","0614C01","1","1","591"
"13417","SERVIÇO SOCIAL","0923S01","1","1","590"
"113621","ARQUIVOLOGIA","0322A01","1","1","562"
"13396","BIBLIOTECONOMIA","0322B01","1","1","562"
"98976","CIÊNCIAS CONTÁBEIS","0411C01","1","1","541"
"1127164","ENGENHARIA DE COMPUTA","0714E04","1","1","530"
"13430","ENGENHARIA MECÂNICA","0715E02","1","1","528"
"13415","HISTÓRIA","0114H01","2","1","527"
"44258","ENFERMAGEM","0913E01","1","1","503"
"13455","ADMINISTRAÇÃO","0413A01","1","1","490"
"113709","MEDICINA VETERINÁRIA","0841M01","1","1","490"
"13429","ENGENHARIA CIVIL","0732E01","1","1","487"
"1127907","ALIMENTOS","0721A01","3","1","481"
"122924","PEDAGOGIA - EDUCAçãO","0113E01","2","1","478"
"122926","PSICOPEDAGOGIA","0111P02","1","1","477"
"13421","FARMÁCIA","0916F01","1","1","477"
"98984","CIÊNCIA DA COMPUTAÇÃO","0114C05","2","1","476"
"109626","PEDAGOGIA","0113P01","2","1","473"
"13394","CIÊNCIAS ECONÔMICAS","0311E01","1","1","473"
"113609","ENGENHARIA ELÉTRICA","0713E05","1","1","459"
"19562","TURISMO","1015T01","1","1","456"
"99045","MATEMÁTICA","0114M01","2","1","449"
"1268219","JORNALISMO","0321J01","1","1","432"
"13427","ARQUITETURA E URBANIS","0731A02","1","1","418"
"98982","SECRETARIADO EXECUTIV","0415S01","1","1","418"
"13422","FISIOTERAPIA","0915F01","1","1","415"
"13426","ODONTOLOGIA","0911O01","1","1","412"
"13399","CIÊNCIAS BIOLÓGICAS","0114B01","2","1","410"
"13402","MATEMÁTICA","0114M01","2","1","406"
"1126958","RELAÇÕES INTERNACIONA","0312R01","1","1","393"
"1189063","ENGENHARIA DE ENERGIA","0713E04","1","1","392"
"5001240","GASTRONOMIA","1013G01","1","1","387"
"13454","AGRONOMIA","0811A04","1","1","381"
"122288","EDUCAÇÃO FÍSICA","0915E01","1","1","378"
"1127039","CIÊNCIAS ATUARIAIS","0542C01","1","1","378"
"113615","ENGENHARIA AMBIENTAL","0712E01","1","1","368"
"13425","NUTRIÇÃO","0915N01","1","1","365"
"13423","EDUCAÇÃO FÍSICA","0114E03","2","1","353"
"1110230","CIÊNCIAS SOCIAIS","0114C03","2","1","350"
"1125641","COMUNICAÇÃO EM MÍDIAS","0211P05","1","1","349"
"116830","LETRAS - LETRAS CLáSS","0115L08","2","1","338"
"113604","ENGENHARIA QUÍMICA","0711E05","1","1","336"
"1503759","CIÊNCIA DE DADOS E IN","0617C01","1","1","331"
"1363988","GESTÃO PÚBLICA","0413G12","1","1","328"
"113617","ENGENHARIA DE MATERIA","0722E01","1","1","325"
"1127165","PRODUÇÃO SUCROALCOOLE","0721P03","3","1","314"
"100220","HOTELARIA","1015H01","1","1","314"
"13428","ENGENHARIA DE ALIMENT","0721E01","1","1","312"
"98980","ECOLOGIA","0521E01","1","1","307"
"1189062","BIOTECNOLOGIA","0512B02","1","1","300"
"122934","ENGENHARIA DE PRODUÇÃ","0725E02","1","1","279"
"1123330","TERAPIA OCUPACIONAL","0915T01","1","1","278"
"107356","PEDAGOGIA","0113P01","2","1","278"
"13404","QUÍMICA","0114Q01","2","1","274"
"13459","CIÊNCIAS SOCIAIS","0312C02","1","1","272"
"116826","CIÊNCIAS DAS RELIGIÕE","0114E07","2","1","268"
"313399","CIÊNCIAS BIOLÓGICAS","0511B01","1","1","266"
"1399139","BIOMEDICINA","0914B01","1","1","263"
"122918","FONOAUDIOLOGIA","0915F02","1","1","258"
"107360","SISTEMAS DE INFORMAÇÃ","0615S02","1","1","258"
"97039","MÚSICA","0114M02","2","1","249"
"1268221","RADIALISMO","0321R01","1","1","248"
"13406","GEOGRAFIA","0114G01","2","1","241"
"1162838","CIÊNCIAS DAS RELIGIÕE","0221C01","1","1","239"
"13403","ZOOTECNIA","0811Z01","1","1","229"
"107348","ANTROPOLOGIA","0312A01","1","1","219"
"19563","ENGENHARIA DE PRODUÇÃ","0725E02","1","1","218"
"1268257","RELAÇÕES PÚBLICAS","0414R01","1","1","217"
"1440696","ADMINISTRAÇÃO","0413A01","1","1","216"
"5000898","LETRAS - LÍNGUA PORTU","0115L13","2","1","215"
"13431","QUÍMICA INDUSTRIAL","0531Q02","1","1","206"
"122928","LÍNGUAS ESTRANGEIRAS","0288P01","1","1","200"
"13400","FÍSICA","0114F02","2","1","198"
"107352","DESIGN","0212D02","1","1","196"
"43454","ESTATÍSTICA","0542E01","1","1","190"
"109948","MATEMÁTICA","0114M01","2","2","182"
"313406","GEOGRAFIA","0312G01","1","1","177"
"26564","MÚSICA","0215M01","1","1","172"
"107553","LETRAS - ESPANHOL","0115L02","2","1","170"
"313400","FÍSICA","0533F01","1","1","166"
"80589","AGROINDÚSTRIA","0811A02","1","1","162"
"13409","FILOSOFIA","0114F01","2","1","155"
"109954","LETRAS - LÍNGUA PORTU","0115L13","2","2","155"
"397767","CIÊNCIAS BIOLÓGICAS","0511B01","1","1","153"
"122930","TRADUÇÃO","0231L22","1","1","152"
"97767","CIÊNCIAS BIOLÓGICAS","0114B01","2","1","146"
"1126690","LETRAS - LÍNGUA PORTU","0115L18","2","2","144"
"1191007","DANÇA","0114D01","2","1","143"
"107438","ARTES VISUAIS","0114A02","2","1","139"
"107440","ARTES VISUAIS","0213A03","1","1","128"
"1161324","QUÍMICA","0114Q01","2","1","124"
"113701","CIÊNCIAS AGRÁRIAS","0114C01","2","2","118"
"1167933","AGROECOLOGIA","0811A01","1","1","117"
"313404","QUÍMICA","0531Q01","1","1","115"
"13457","CIÊNCIAS AGRÁRIAS","0114C01","2","1","114"
"313409","FILOSOFIA","0223F01","1","1","111"
"5000897","QUÍMICA","0531Q01","1","1","111"
"1261910","LETRAS - INGLÊS","0115L04","2","2","109"
"109950","PEDAGOGIA","0113P01","2","2","106"
"107456","TEATRO","0114T01","2","1","105"
"1166771","CINEMA E AUDIOVISUAL","0211C01","1","1","104"
"113699","CIÊNCIAS BIOLÓGICAS","0114B01","2","2","102"
"1261913","LETRAS - ESPANHOL","0115L02","2","2","90"
"107552","LETRAS - FRANCÊS","0115L03","2","1","86"
