CO_CURSO,NO_CURSO,TOTAL_ALUNOS
"13397","CIÊNCIAS CONTÁBEIS","1445"
"13418","PEDAGOGIA","1377"
"13398","DIREITO","1132"
"13424","MEDICINA","843"
"107548","LETRAS - LÍNGUA PORTU","769"
"1110415","DIREITO","765"
"13395","ADMINISTRAÇÃO","758"
"107549","LETRAS - INGLÊS","645"
"13413","PSICOLOGIA","594"
"13401","CIÊNCIA DA COMPUTAÇÃO","591"
"13417","SERVIÇO SOCIAL","590"
"113621","ARQUIVOLOGIA","565"
"13396","BIBLIOTECONOMIA","564"
"98976","CIÊNCIAS CONTÁBEIS","540"
"1127164","ENGENHARIA DE COMPUTA","529"
"13430","ENGENHARIA MECÂNICA","527"
"13415","HISTÓRIA","526"
"44258","ENFERMAGEM","502"
"13455","ADMINISTRAÇÃO","491"
"113709","MEDICINA VETERINÁRIA","490"
"13429","ENGENHARIA CIVIL","489"
"1127907","ALIMENTOS","486"
"13421","FARMÁCIA","479"
"122924","PEDAGOGIA - EDUCAçãO","478"
"122926","PSICOPEDAGOGIA","477"
"98984","CIÊNCIA DA COMPUTAÇÃO","476"
"109626","PEDAGOGIA","472"
"13394","CIÊNCIAS ECONÔMICAS","469"
"113609","ENGENHARIA ELÉTRICA","463"
"19562","TURISMO","455"
"99045","MATEMÁTICA","450"
"1268219","JORNALISMO","432"
"13422","FISIOTERAPIA","418"
"98982","SECRETARIADO EXECUTIV","417"
"13427","ARQUITETURA E URBANIS","417"
"13426","ODONTOLOGIA","413"
"13399","CIÊNCIAS BIOLÓGICAS","411"
"13402","MATEMÁTICA","407"
"1126958","RELAÇÕES INTERNACIONA","392"
"1189063","ENGENHARIA DE ENERGIA","390"
"5001240","GASTRONOMIA","387"
"13454","AGRONOMIA","380"
"122288","EDUCAÇÃO FÍSICA","376"
"1127039","CIÊNCIAS ATUARIAIS","376"
"13425","NUTRIÇÃO","367"
"113615","ENGENHARIA AMBIENTAL","366"
"1110230","CIÊNCIAS SOCIAIS","353"
"13423","EDUCAÇÃO FÍSICA","352"
"1125641","COMUNICAÇÃO EM MÍDIAS","347"
"113604","ENGENHARIA QUÍMICA","338"
"116830","LETRAS - LETRAS CLáSS","337"
"1503759","CIÊNCIA DE DADOS E IN","331"
"1363988","GESTÃO PÚBLICA","329"
"113617","ENGENHARIA DE MATERIA","326"
"1127165","PRODUÇÃO SUCROALCOOLE","317"
"100220","HOTELARIA","313"
"13428","ENGENHARIA DE ALIMENT","311"
"98980","ECOLOGIA","306"
"1189062","BIOTECNOLOGIA","299"
"107356","PEDAGOGIA","278"
"1123330","TERAPIA OCUPACIONAL","278"
"122934","ENGENHARIA DE PRODUÇÃ","277"
"13459","CIÊNCIAS SOCIAIS","272"
"13404","QUÍMICA","271"
"116826","CIÊNCIAS DAS RELIGIÕE","267"
"313399","CIÊNCIAS BIOLÓGICAS","265"
"1399139","BIOMEDICINA","260"
"122918","FONOAUDIOLOGIA","258"
"107360","SISTEMAS DE INFORMAÇÃ","258"
"97039","MÚSICA","248"
"1268221","RADIALISMO","247"
"1162838","CIÊNCIAS DAS RELIGIÕE","242"
"13406","GEOGRAFIA","240"
"13403","ZOOTECNIA","229"
"1440696","ADMINISTRAÇÃO","219"
"107348","ANTROPOLOGIA","219"
"19563","ENGENHARIA DE PRODUÇÃ","218"
"1268257","RELAÇÕES PÚBLICAS","216"
"5000898","LETRAS - LÍNGUA PORTU","215"
"13431","QUÍMICA INDUSTRIAL","205"
"122928","LÍNGUAS ESTRANGEIRAS","202"
"107352","DESIGN","198"
"13400","FÍSICA","198"
"43454","ESTATÍSTICA","190"
"109948","MATEMÁTICA","182"
"313406","GEOGRAFIA","175"
"26564","MÚSICA","174"
"107553","LETRAS - ESPANHOL","171"
"313400","FÍSICA","168"
"80589","AGROINDÚSTRIA","162"
"109954","LETRAS - LÍNGUA PORTU","155"
"122930","TRADUÇÃO","155"
"13409","FILOSOFIA","155"
"397767","CIÊNCIAS BIOLÓGICAS","153"
"97767","CIÊNCIAS BIOLÓGICAS","146"
"1126690","LETRAS - LÍNGUA PORTU","144"
"1191007","DANÇA","144"
"107438","ARTES VISUAIS","139"
"107440","ARTES VISUAIS","128"
"1161324","QUÍMICA","125"
"113701","CIÊNCIAS AGRÁRIAS","118"
"1167933","AGROECOLOGIA","117"
"313404","QUÍMICA","116"
"13457","CIÊNCIAS AGRÁRIAS","114"
"313409","FILOSOFIA","112"
"5000897","QUÍMICA","111"
"1261910","LETRAS - INGLÊS","109"
"109950","PEDAGOGIA","106"
"107456","TEATRO","105"
"1166771","CINEMA E AUDIOVISUAL","104"
"113699","CIÊNCIAS BIOLÓGICAS","102"
"1261913","LETRAS - ESPANHOL","90"
"107552","LETRAS - FRANCÊS","84"
"1564470","CIÊNCIA DE DADOS PARA","84"
"407456","TEATRO","76"
"313402","MATEMÁTICA","52"
"1162837","MATEMÁTICA COMPUTACIO","33"
"1203263","ADMINISTRAÇÃO PÚBLICA","33"
"1203266","COMPUTAÇÃO","7"
