CO_CURSO,NO_CURSO,CO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,TOTAL_ALUNOS
"13418","PEDAGOGIA","0113P01","2","1","1649"
"13397","CIÊNCIAS CONTÁBEIS","0411C01","1","1","1373"
"13398","DIREITO","0421D01","1","1","1089"
"1110415","DIREITO","0421D01","1","1","876"
"13424","MEDICINA","0912M01","1","1","824"
"107548","LETRAS - LÍNGUA PORTU","0115L13","2","1","763"
"13395","ADMINISTRAÇÃO","0413A01","1","1","713"
"13430","ENGENHARIA MECÂNICA","0715E02","1","1","679"
"107549","LETRAS - INGLÊS","0115L04","2","1","603"
"1127164","ENGENHARIA DE COMPUTA","0714E04","1","1","595"
"13413","PSICOLOGIA","0313P01","1","1","590"
"13429","ENGENHARIA CIVIL","0732E01","1","1","575"
"13417","SERVIÇO SOCIAL","0923S01","1","1","558"
"13421","FARMÁCIA","0916F01","1","1","557"
"122924","PEDAGOGIA - EDUCAçãO","0113E01","2","1","556"
"13401","CIÊNCIA DA COMPUTAÇÃO","0614C01","1","1","539"
"13396","BIBLIOTECONOMIA","0322B01","1","1","532"
"98976","CIÊNCIAS CONTÁBEIS","0411C01","1","1","529"
"122926","PSICOPEDAGOGIA","0111P02","1","1","525"
"113621","ARQUIVOLOGIA","0322A01","1","1","522"
"13394","CIÊNCIAS ECONÔMICAS","0311E01","1","1","519"
"13415","HISTÓRIA","0114H01","2","1","517"
"44258","ENFERMAGEM","0913E01","1","1","502"
"113709","MEDICINA VETERINÁRIA","0841M01","1","1","499"
"113609","ENGENHARIA ELÉTRICA","0713E05","1","1","470"
"13426","ODONTOLOGIA","0911O01","1","1","451"
"13399","CIÊNCIAS BIOLÓGICAS","0114B01","2","1","449"
"1127907","ALIMENTOS","0721A01","3","1","447"
"13455","ADMINISTRAÇÃO","0413A01","1","1","445"
"98984","CIÊNCIA DA COMPUTAÇÃO","0114C05","2","1","441"
"99045","MATEMÁTICA","0114M01","2","1","441"
"13402","MATEMÁTICA","0114M01","2","1","435"
"13454","AGRONOMIA","0811A04","1","1","433"
"1127039","CIÊNCIAS ATUARIAIS","0542C01","1","1","433"
