CO_CURSO,TP_SEXO,TP_COR_RACA,TP_TURNO,IN_RESERVA_VAGAS,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,TOTAL_ALUNOS
"13394","1","3","4","0","0","null","null","null","null","null","null","12"
"13394","1","3","4","0","1","1","0","0","0","0","0","2"
"13394","1","3","4","1","1","1","1","0","0","0","0","2"
"13394","1","1","4","0","0","null","null","null","null","null","null","18"
"13394","1","2","3","0","0","null","null","null","null","null","null","2"
"13394","2","3","3","1","1","1","0","0","0","0","0","4"
"13394","1","2","4","1","1","1","0","0","0","0","0","2"
"13394","2","1","4","0","1","0","0","0","0","1","0","2"
"13394","2","3","4","1","1","1","0","0","0","0","0","4"
"13394","1","2","4","0","0","null","null","null","null","null","null","3"
"13394","2","4","4","0","0","null","null","null","null","null","null","2"
"13394","2","0","4","0","1","0","0","0","0","1","0","3"
"13394","1","3","3","1","1","1","0","0","0","0","0","2"
"13394","1","0","4","0","0","null","null","null","null","null","null","13"
"13394","2","1","3","0","0","null","null","null","null","null","null","33"
"13394","2","2","4","0","0","null","null","null","null","null","null","11"
"13394","2","2","4","1","0","null","null","null","null","null","null","2"
"13394","2","3","4","1","0","null","null","null","null","null","null","53"
"13394","1","3","3","1","0","null","null","null","null","null","null","17"
"13394","1","2","4","1","0","null","null","null","null","null","null","4"
"13394","2","0","4","0","0","null","null","null","null","null","null","28"
"13394","2","0","4","1","0","null","null","null","null","null","null","4"
"13394","2","1","4","1","0","null","null","null","null","null","null","15"
"13394","1","1","4","1","0","null","null","null","null","null","null","9"
"13394","2","0","3","0","0","null","null","null","null","null","null","7"
"13394","1","3","4","1","1","1","0","0","0","0","0","3"
"13394","2","3","4","0","0","null","null","null","null","null","null","28"
"13394","2","1","3","1","0","null","null","null","null","null","null","13"
"13394","2","3","4","0","1","1","0","0","0","0","0","2"
"13394","2","3","4","1","1","0","0","0","0","1","0","4"
"13394","2","3","3","1","0","null","null","null","null","null","null","27"
"13394","2","1","4","0","0","null","null","null","null","null","null","59"
"13394","1","3","3","0","0","null","null","null","null","null","null","6"
"13394","2","3","3","0","0","null","null","null","null","null","null","31"
"13394","2","2","3","1","0","null","null","null","null","null","null","4"
"13394","1","0","4","1","0","null","null","null","null","null","null","6"
"13394","1","4","4","1","0","null","null","null","null","null","null","2"
"13394","1","1","3","1","0","null","null","null","null","null","null","2"
"13394","1","3","4","1","0","null","null","null","null","null","null","24"
"13394","2","4","4","1","0","null","null","null","null","null","null","2"
"13394","1","1","3","0","0","null","null","null","null","null","null","8"
"13394","2","2","3","0","0","null","null","null","null","null","null","2"
"13395","2","3","3","0","0","null","null","null","null","null","null","40"
"13395","2","1","3","1","0","null","null","null","null","null","null","22"
"13395","2","1","1","1","0","null","null","null","null","null","null","16"
"13395","2","3","1","0","0","null","null","null","null","null","null","24"
"13395","1","2","1","0","0","null","null","null","null","null","null","9"
"13395","2","1","1","0","0","null","null","null","null","null","null","33"
"13395","1","0","3","0","0","null","null","null","null","null","null","14"
"13395","2","0","3","0","0","null","null","null","null","null","null","18"
"13395","1","3","1","1","1","0","0","0","0","1","0","2"
"13395","2","2","3","1","0","null","null","null","null","null","null","12"
"13395","1","0","1","1","0","null","null","null","null","null","null","10"
"13395","2","0","1","1","0","null","null","null","null","null","null","5"
"13395","2","2","1","0","0","null","null","null","null","null","null","7"
"13395","1","0","1","0","1","0","0","0","0","1","1","2"
"13395","2","1","3","0","0","null","null","null","null","null","null","53"
"13395","2","0","3","1","0","null","null","null","null","null","null","8"
"13395","2","2","3","0","0","null","null","null","null","null","null","10"
"13395","2","3","1","1","1","1","0","0","0","0","0","7"
"13395","1","3","1","0","0","null","null","null","null","null","null","25"
"13395","1","1","3","1","0","null","null","null","null","null","null","5"
"13395","2","2","1","1","0","null","null","null","null","null","null","4"
"13395","1","1","1","0","1","0","0","0","0","1","0","2"
"13395","1","3","3","0","0","null","null","null","null","null","null","40"
"13395","1","2","3","0","0","null","null","null","null","null","null","7"
"13395","2","0","1","0","0","null","null","null","null","null","null","24"
"13395","1","1","1","0","0","null","null","null","null","null","null","37"
"13395","1","3","1","1","1","1","0","0","0","0","0","7"
"13395","1","1","1","1","1","0","0","0","0","1","0","2"
"13395","1","3","1","1","0","null","null","null","null","null","null","33"
"13395","1","2","3","1","0","null","null","null","null","null","null","7"
"13395","1","1","3","1","1","1","0","0","0","0","0","2"
"13395","1","1","3","0","1","1","0","0","0","0","0","2"
"13395","1","2","1","1","0","null","null","null","null","null","null","2"
"13395","1","1","1","1","1","1","0","0","0","1","0","2"
"13395","1","0","1","0","0","null","null","null","null","null","null","19"
"13395","2","3","3","1","0","null","null","null","null","null","null","50"
"13395","2","3","1","1","0","null","null","null","null","null","null","37"
"13395","1","3","3","1","0","null","null","null","null","null","null","33"
"13395","1","1","3","0","0","null","null","null","null","null","null","28"
"13395","1","0","3","1","0","null","null","null","null","null","null","5"
"13395","1","1","1","1","0","null","null","null","null","null","null","9"
"13396","1","1","3","1","1","1","0","0","0","0","0","2"
"13396","1","3","3","1","1","0","0","0","0","1","0","3"
"13396","1","0","3","0","0","null","null","null","null","null","null","36"
"13396","1","4","3","1","0","null","null","null","null","null","null","2"
"13396","1","3","3","1","1","1","0","0","0","0","0","5"
"13396","1","3","3","1","0","null","null","null","null","null","null","73"
"13396","2","3","3","0","1","0","1","0","0","0","1","2"
"13396","2","1","3","1","0","null","null","null","null","null","null","8"
"13396","2","3","3","0","0","null","null","null","null","null","null","37"
"13396","1","3","3","0","1","0","0","1","0","0","1","2"
"13396","1","1","3","0","1","0","0","0","0","0","1","2"
"13396","1","3","3","1","1","0","0","0","0","0","1","3"
"13396","2","3","3","0","1","1","0","0","0","0","0","2"
"13396","1","2","3","1","0","null","null","null","null","null","null","10"
"13396","2","3","3","1","0","null","null","null","null","null","null","44"
"13396","2","0","3","0","0","null","null","null","null","null","null","25"
"13396","2","4","3","0","0","null","null","null","null","null","null","2"
"13396","2","1","3","0","0","null","null","null","null","null","null","34"
"13396","1","3","3","0","1","0","0","0","0","1","1","2"
"13396","1","3","3","0","1","0","0","0","0","0","1","4"
"13396","1","3","3","0","0","null","null","null","null","null","null","63"
"13396","1","1","3","0","1","1","0","0","0","0","0","2"
