CO_CURSO,IDPNA,TOTAL
"13418","Demanda potencial não atendida","851"
"13397","Demanda potencial não atendida","837"
"13398","Demanda potencial não atendida","682"
"13397","Demais estudantes","609"
"13418","Demais estudantes","531"
"107548","Demanda potencial não atendida","471"
"13395","Demanda potencial não atendida","466"
"13398","Demais estudantes","454"
"13424","Demanda potencial não atendida","444"
"13424","Demais estudantes","398"
"1110415","Demanda potencial não atendida","397"
"13417","Demanda potencial não atendida","378"
"1110415","Demais estudantes","368"
"107549","Demanda potencial não atendida","361"
"13413","Demanda potencial não atendida","348"
"13415","Demanda potencial não atendida","326"
"13401","Demais estudantes","316"
"113621","Demanda potencial não atendida","300"
"107548","Demais estudantes","298"
"13395","Demais estudantes","296"
"13396","Demanda potencial não atendida","292"
"122924","Demanda potencial não atendida","291"
"13430","Demanda potencial não atendida","286"
"1127164","Demais estudantes","284"
"107549","Demais estudantes","282"
"13429","Demanda potencial não atendida","277"
"98976","Demais estudantes","276"
"13401","Demanda potencial não atendida","272"
"13396","Demais estudantes","271"
"44258","Demanda potencial não atendida","269"
"13455","Demanda potencial não atendida","266"
"113621","Demais estudantes","265"
"98976","Demanda potencial não atendida","265"
"13421","Demanda potencial não atendida","262"
"122926","Demanda potencial não atendida","259"
"113709","Demanda potencial não atendida","255"
"1268219","Demanda potencial não atendida","252"
"1127907","Demanda potencial não atendida","249"
"13413","Demais estudantes","246"
"13430","Demais estudantes","245"
"1127164","Demanda potencial não atendida","245"
"13402","Demanda potencial não atendida","243"
"98984","Demais estudantes","242"
"109626","Demais estudantes","240"
"113609","Demanda potencial não atendida","238"
"122288","Demanda potencial não atendida","237"
"44258","Demais estudantes","236"
"13394","Demais estudantes","235"
"109626","Demanda potencial não atendida","234"
"13394","Demanda potencial não atendida","234"
"98984","Demanda potencial não atendida","233"
"1127907","Demais estudantes","233"
"113709","Demais estudantes","232"
"1127039","Demanda potencial não atendida","232"
"99045","Demanda potencial não atendida","230"
"19562","Demanda potencial não atendida","230"
"13423","Demanda potencial não atendida","228"
"13422","Demanda potencial não atendida","227"
"19562","Demais estudantes","226"
"1189063","Demanda potencial não atendida","224"
"13455","Demais estudantes","223"
"113609","Demais estudantes","223"
"1126958","Demanda potencial não atendida","221"
"13426","Demais estudantes","221"
"99045","Demais estudantes","221"
"13425","Demanda potencial não atendida","220"
"13399","Demais estudantes","220"
"13427","Demanda potencial não atendida","219"
"122926","Demais estudantes","218"
"5001240","Demais estudantes","218"
"13421","Demais estudantes","217"
"13417","Demais estudantes","213"
"98982","Demais estudantes","212"
"13429","Demais estudantes","210"
"98980","Demais estudantes","210"
"97039","Demais estudantes","205"
"98982","Demanda potencial não atendida","203"
"13415","Demais estudantes","201"
"1125641","Demanda potencial não atendida","200"
"13427","Demais estudantes","198"
"113615","Demanda potencial não atendida","197"
"13454","Demanda potencial não atendida","193"
"1363988","Demanda potencial não atendida","193"
"13426","Demanda potencial não atendida","191"
"13399","Demanda potencial não atendida","191"
"13422","Demais estudantes","188"
"122924","Demais estudantes","187"
"113604","Demais estudantes","187"
"13454","Demais estudantes","187"
"1110230","Demanda potencial não atendida","185"
"116830","Demais estudantes","184"
"113617","Demanda potencial não atendida","180"
"1268219","Demais estudantes","180"
"13428","Demanda potencial não atendida","176"
"1126958","Demais estudantes","172"
"113615","Demais estudantes","172"
"5001240","Demanda potencial não atendida","170"
"1503759","Demanda potencial não atendida","170"
"1189063","Demais estudantes","168"
"100220","Demanda potencial não atendida","168"
"1110230","Demais estudantes","166"
"1123330","Demanda potencial não atendida","164"
"13402","Demais estudantes","164"
"1189062","Demanda potencial não atendida","162"
"1127165","Demanda potencial não atendida","161"
"1503759","Demais estudantes","158"
"107356","Demais estudantes","156"
"1127165","Demais estudantes","153"
"26564","Demais estudantes","152"
"116830","Demanda potencial não atendida","152"
"1125641","Demais estudantes","150"
"113604","Demanda potencial não atendida","150"
"13403","Demanda potencial não atendida","149"
"116826","Demanda potencial não atendida","148"
"122918","Demanda potencial não atendida","147"
"13425","Demais estudantes","146"
"113617","Demais estudantes","145"
"122934","Demais estudantes","145"
"1399139","Demanda potencial não atendida","144"
"100220","Demais estudantes","144"
"13404","Demais estudantes","143"
"1127039","Demais estudantes","143"
"313399","Demanda potencial não atendida","142"
"13459","Demanda potencial não atendida","141"
"122288","Demais estudantes","140"
"1189062","Demais estudantes","138"
"1363988","Demais estudantes","136"
"107360","Demanda potencial não atendida","135"
"13428","Demais estudantes","134"
"122934","Demanda potencial não atendida","133"
"5000898","Demais estudantes","132"
"1268221","Demanda potencial não atendida","132"
"13459","Demais estudantes","131"
"107348","Demais estudantes","130"
"13404","Demanda potencial não atendida","129"
"13423","Demais estudantes","127"
"13406","Demanda potencial não atendida","127"
"80589","Demais estudantes","126"
"107356","Demanda potencial não atendida","124"
"107360","Demais estudantes","123"
"313399","Demais estudantes","123"
"1162838","Demanda potencial não atendida","122"
"1399139","Demais estudantes","120"
"1162838","Demais estudantes","120"
"13400","Demanda potencial não atendida","118"
"116826","Demais estudantes","118"
"1268257","Demanda potencial não atendida","117"
"19563","Demanda potencial não atendida","116"
"107553","Demanda potencial não atendida","114"
"122918","Demais estudantes","114"
"1268221","Demais estudantes","114"
"1123330","Demais estudantes","113"
"13406","Demais estudantes","111"
"1440696","Demais estudantes","110"
"107352","Demais estudantes","110"
"13431","Demais estudantes","108"
"122928","Demanda potencial não atendida","106"
"313406","Demanda potencial não atendida","105"
"1440696","Demanda potencial não atendida","105"
"1268257","Demais estudantes","101"
"19563","Demais estudantes","101"
"43454","Demais estudantes","100"
"109948","Demanda potencial não atendida","99"
"98980","Demanda potencial não atendida","98"
"122928","Demais estudantes","96"
"13431","Demanda potencial não atendida","96"
"13409","Demanda potencial não atendida","92"
"43454","Demanda potencial não atendida","91"
"313400","Demanda potencial não atendida","89"
"107348","Demanda potencial não atendida","88"
"107352","Demanda potencial não atendida","87"
"1167933","Demais estudantes","87"
"13457","Demais estudantes","86"
"109948","Demais estudantes","83"
"5000898","Demanda potencial não atendida","83"
"13403","Demais estudantes","82"
"397767","Demanda potencial não atendida","82"
"13400","Demais estudantes","82"
"122930","Demais estudantes","81"
"109954","Demais estudantes","80"
"97767","Demanda potencial não atendida","78"
"113701","Demais estudantes","75"
"109954","Demanda potencial não atendida","75"
"1126690","Demanda potencial não atendida","74"
"313400","Demais estudantes","74"
"313406","Demais estudantes","73"
"122930","Demanda potencial não atendida","73"
"1191007","Demais estudantes","73"
"1564470","Demanda potencial não atendida","72"
"397767","Demais estudantes","71"
"1191007","Demanda potencial não atendida","70"
"107438","Demanda potencial não atendida","70"
"1261910","Demais estudantes","70"
"107440","Demanda potencial não atendida","70"
"107438","Demais estudantes","70"
"1126690","Demais estudantes","69"
"97767","Demais estudantes","68"
"313409","Demanda potencial não atendida","68"
"13409","Demais estudantes","64"
"1161324","Demais estudantes","63"
"313404","Demais estudantes","61"
"1161324","Demanda potencial não atendida","61"
"107456","Demais estudantes","60"
"5000897","Demais estudantes","60"
"109950","Demais estudantes","59"
"113699","Demanda potencial não atendida","59"
"107440","Demais estudantes","58"
"1166771","Demanda potencial não atendida","58"
"107553","Demais estudantes","56"
"313404","Demanda potencial não atendida","53"
"5000897","Demanda potencial não atendida","50"
"1261913","Demais estudantes","50"
"407456","Demanda potencial não atendida","47"
"109950","Demanda potencial não atendida","47"
"1166771","Demais estudantes","46"
"107456","Demanda potencial não atendida","45"
"107552","Demanda potencial não atendida","44"
"313409","Demais estudantes","43"
"97039","Demanda potencial não atendida","43"
"113701","Demanda potencial não atendida","43"
"113699","Demais estudantes","43"
"107552","Demais estudantes","41"
"1261913","Demanda potencial não atendida","40"
"1261910","Demanda potencial não atendida","39"
"80589","Demanda potencial não atendida","35"
"1167933","Demanda potencial não atendida","30"
"313402","Demais estudantes","29"
"13457","Demanda potencial não atendida","29"
"407456","Demais estudantes","29"
"313402","Demanda potencial não atendida","23"
"1162837","Demais estudantes","23"
"26564","Demanda potencial não atendida","21"
"1203263","Demanda potencial não atendida","19"
"1564470","Demais estudantes","14"
"1203263","Demais estudantes","14"
"1162837","Demanda potencial não atendida","10"
"1203266","Demanda potencial não atendida","4"
"1203266","Demais estudantes","3"
