CO_CURSO;NO_CURSO;CENTRO;TOTAL_ALUNOS;TOTAL_COTISTAS;TOTAL_COM_APOIO_SOCIAL;TOTAL_IDPNA;IDR_C (% cotistas desassistidos)
13418;PEDAGOGIA;CE;1567;697;108;642;92.11
13397;CIÊNCIAS CONTÁBEIS;CCSA;1319;566;41;542;95.76
13398;DIREITO;CCJ;1041;425;120;375;88.24
107548;LETRAS - LÍNGUA PORTUGUESA;CCHLA;721;325;33;303;93.23
13424;MEDICINA;CCM;779;348;179;269;77.3
13395;ADMINISTRAÇÃO;CCSA;674;280;28;258;92.14
107549;LETRAS - INGLÊS;CCHLA;567;239;15;228;95.4
13417;SERVIÇO SOCIAL;CCHLA;517;249;27;227;91.16
122924;PEDAGOGIA - EDUCAÇÃO DO CAMPO;CE;525;244;23;223;91.39
13430;ENGENHARIA MECÂNICA;CT;645;277;77;220;79.42
13415;HISTÓRIA;CCHLA;483;224;23;212;94.64
113621;ARQUIVOLOGIA;CCSA;505;205;24;194;94.63
13396;BIBLIOTECONOMIA;CCSA;501;206;37;191;92.72
13429;ENGENHARIA CIVIL;CT;542;222;57;191;86.04
13413;PSICOLOGIA;CCHLA;553;237;88;188;79.32
13394;CIÊNCIAS ECONÔMICAS;CCSA;477;205;30;184;89.76
13402;MATEMÁTICA;CCEN;415;196;30;176;89.8
122926;PSICOPEDAGOGIA;CE;501;207;59;175;84.54
1127039;CIÊNCIAS ATUARIAIS;CCSA;421;185;11;174;94.05
13421;FARMÁCIA;CCS;511;230;87;172;74.78
1127907;ALIMENTOS;CTDR;411;182;31;163;89.56
13423;EDUCAÇÃO FÍSICA;CCS;393;168;13;161;95.83
19562;TURISMO;CCTA;399;166;14;160;96.39
1127165;PRODUÇÃO SUCROALCOOLEIRA;CTDR;388;173;18;159;91.91
1127164;ENGENHARIA DE COMPUTAÇÃO;CI;554;223;102;157;70.4
44258;ENFERMAGEM;CCS;454;199;86;150;75.38
13425;NUTRIÇÃO;CCS;404;172;47;147;85.47
113609;ENGENHARIA ELÉTRICA;CEAR;431;180;63;147;81.67
1268219;JORNALISMO;CCTA;380;161;38;143;88.82
13401;CIÊNCIA DA COMPUTAÇÃO;CI;504;202;93;142;70.3
13427;ARQUITETURA E URBANISMO;CT;394;171;48;139;81.29
122288;EDUCAÇÃO FÍSICA;CCS;387;144;12;136;94.44
1363988;GESTÃO PÚBLICA;CCSA;320;144;26;131;90.97
109954;LETRAS - LÍNGUA PORTUGUESA;CCHLA;260;129;0;129;100.0
1126958;RELAÇÕES INTERNACIONAIS;CCSA;357;138;29;126;91.3
1189062;BIOTECNOLOGIA;CBIOTEC;319;145;30;125;86.21
1189063;ENGENHARIA DE ENERGIAS RENOVÁVEIS;CEAR;340;142;28;123;86.62
100220;HOTELARIA;CCTA;287;134;11;123;91.79
113615;ENGENHARIA AMBIENTAL;CT;355;143;26;121;84.62
1125641;COMUNICAÇÃO EM MÍDIAS DIGITAIS;CCHLA;302;133;23;120;90.23
13422;FISIOTERAPIA;CCS;354;162;64;120;74.07
13426;ODONTOLOGIA;CCS;401;154;72;117;75.97
13399;CIÊNCIAS BIOLÓGICAS;CCEN;386;153;55;116;75.82
1110230;CIÊNCIAS SOCIAIS;CCHLA;291;124;10;116;93.55
116830;LETRAS - LETRAS CLÁSSICAS (GREGO E LATIM);CCHLA;307;115;2;113;98.26
113604;ENGENHARIA QUÍMICA;CT;343;150;60;109;72.67
1126690;LETRAS - LÍNGUA PORTUGUESA E LIBRAS;CCHLA;188;108;0;108;100.0
109948;MATEMÁTICA;CCEN;200;108;0;108;100.0
313399;CIÊNCIAS BIOLÓGICAS;CCEN;278;115;23;105;91.3
113617;ENGENHARIA DE MATERIAIS;CT;271;116;15;103;88.79
5001240;GASTRONOMIA;CTDR;327;142;63;102;71.83
1268257;RELAÇÕES PÚBLICAS;CCTA;272;109;14;101;92.66
116826;CIÊNCIAS DAS RELIGIÕES;CE;230;97;2;97;100.0
1162838;CIÊNCIAS DAS RELIGIÕES;CE;223;97;0;97;100.0
1123330;TERAPIA OCUPACIONAL;CCS;280;128;44;97;75.78
13428;ENGENHARIA DE ALIMENTOS;CT;250;110;23;95;86.36
19563;ENGENHARIA DE PRODUÇÃO MECÂNICA;CT;265;109;21;90;82.57
1268221;RADIALISMO;CCTA;218;93;10;90;96.77
13406;GEOGRAFIA;CCEN;244;99;11;90;90.91
13459;CIÊNCIAS SOCIAIS;CCHLA;225;103;19;89;86.41
1503759;CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL;CI;254;115;33;86;74.78
13404;QUÍMICA;CCEN;226;93;9;86;92.47
1399139;BIOMEDICINA;CCS;228;102;32;84;82.35
122934;ENGENHARIA DE PRODUÇÃO;CT;232;87;18;81;93.1
13431;QUÍMICA INDUSTRIAL;CT;226;101;27;80;79.21
122918;FONOAUDIOLOGIA;CCS;248;103;40;79;76.7
107553;LETRAS - ESPANHOL;CCHLA;178;85;11;78;91.76
13400;FÍSICA;CCEN;222;88;11;77;87.5
313406;GEOGRAFIA;CCEN;189;80;8;75;93.75
1261910;LETRAS - INGLÊS;CCHLA;180;75;0;75;100.0
122928;LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS;CCHLA;181;83;15;70;84.34
1261913;LETRAS - ESPANHOL;CCHLA;141;70;0;70;100.0
13409;FILOSOFIA;CCHLA;161;62;4;62;100.0
313400;FÍSICA;CCEN;171;63;14;56;88.89
43454;ESTATÍSTICA;CCEN;157;61;11;55;90.16
109950;PEDAGOGIA;CE;127;53;0;53;100.0
313409;FILOSOFIA;CCHLA;115;51;2;51;100.0
122930;TRADUÇÃO;CCHLA;127;54;3;51;94.44
1191007;DANÇA;CCTA;126;56;8;50;89.29
97039;MÚSICA;CCTA;226;46;21;46;100.0
107438;ARTES VISUAIS;CCTA;118;49;3;46;93.88
1203263;ADMINISTRAÇÃO PÚBLICA;CCSA;69;42;0;42;100.0
107440;ARTES VISUAIS;CCTA;103;40;4;36;90.0
1166771;CINEMA E AUDIOVISUAL;CCTA;84;37;2;35;94.59
1564470;CIÊNCIA DE DADOS PARA NEGÓCIOS;CCSA;78;33;2;33;100.0
107552;LETRAS - FRANCÊS;CCHLA;80;32;0;32;100.0
107456;TEATRO;CCTA;74;28;0;28;100.0
313404;QUÍMICA;CCEN;95;25;0;25;100.0
313402;MATEMÁTICA;CCEN;60;24;0;24;100.0
26564;MÚSICA;CCTA;162;24;11;22;91.67
407456;TEATRO;CCTA;70;22;5;22;100.0
