CO_CURSO;NO_CURSO;TOTAL_ALUNOS;TOTAL_COTISTAS;TOTAL_IDPNA;IDR_C (% de cotistas desassistidos)
13418;PEDAGOGIA;1567;697;642;92.11
13397;CIÊNCIAS CONTÁBEIS;1319;566;542;95.76
13398;DIREITO;1041;425;375;88.24
107548;LETRAS - LÍNGUA PORTUGUESA;721;325;303;93.23
13424;MEDICINA;779;348;269;77.3
13395;ADMINISTRAÇÃO;674;280;258;92.14
107549;LETRAS - INGLÊS;567;239;228;95.4
13417;SERVIÇO SOCIAL;517;249;227;91.16
122924;PEDAGOGIA - EDUCAÇÃO DO CAMPO;525;244;223;91.39
13430;ENGENHARIA MECÂNICA;645;277;220;79.42
